round,date,n1,n2,n3,n4,n5,n6,bonus
1024,2022-07-16,9,18,20,22,38,44,10
1025,2022-07-23,8,9,20,25,29,33,7
1026,2022-07-30,5,12,13,31,32,41,34
1027,2022-08-06,14,16,27,35,39,45,5
1028,2022-08-13,5,7,12,13,18,35,23
1029,2022-08-20,12,30,32,37,39,41,24
1030,2022-08-27,2,5,11,17,24,29,9
1031,2022-09-03,6,7,22,32,35,36,19
1032,2022-09-10,1,6,12,19,36,42,28
1033,2022-09-17,3,11,15,20,35,44,10
1034,2022-09-24,26,31,32,33,38,40,11
1035,2022-10-01,9,14,34,35,41,42,2
1036,2022-10-08,2,5,22,32,34,45,39
1037,2022-10-15,2,14,15,22,27,33,31
1038,2022-10-22,7,16,24,27,37,44,2
1039,2022-10-29,2,3,6,19,36,39,26
1040,2022-11-05,8,16,26,29,31,36,11
1041,2022-11-12,6,7,9,11,17,18,45
1042,2022-11-19,5,14,15,23,34,43,4
1043,2022-11-26,3,5,12,22,26,31,19
1044,2022-12-03,12,17,20,26,28,36,4
1045,2022-12-10,6,14,15,19,21,41,37
1046,2022-12-17,7,16,25,29,35,36,28
1047,2022-12-24,2,20,33,40,42,44,32
1048,2022-12-31,6,12,17,21,32,39,30
1049,2023-01-07,3,5,13,20,21,37,17
1050,2023-01-14,6,12,31,35,38,43,17
1051,2023-01-21,21,26,30,32,33,35,44
1052,2023-01-28,5,17,26,27,35,38,1
1053,2023-02-04,22,26,29,30,34,45,15
1054,2023-02-11,14,19,27,28,30,45,33
1055,2023-02-18,4,7,12,14,22,33,31
1056,2023-02-25,13,20,24,32,36,45,29
1057,2023-03-04,8,13,19,27,40,45,12
1058,2023-03-11,11,23,25,30,32,40,42
1059,2023-03-18,7,10,22,25,34,40,27
1060,2023-03-25,3,10,24,33,38,45,36
1061,2023-04-01,4,24,27,35,37,45,15
1062,2023-04-08,20,31,32,40,41,45,12
1063,2023-04-15,3,6,22,23,24,38,30
1064,2023-04-22,3,6,9,18,22,35,14
1065,2023-04-29,3,18,19,23,32,45,24
1066,2023-05-06,6,11,16,19,21,32,45
1067,2023-05-13,7,10,19,23,28,33,18
1068,2023-05-20,4,7,19,26,33,35,3
1069,2023-05-27,1,10,18,22,28,31,44
1070,2023-06-03,3,6,14,22,30,41,36
1071,2023-06-10,1,2,11,21,30,35,39
1072,2023-06-17,16,18,20,23,32,43,27
1073,2023-06-24,6,18,28,30,32,38,15
1074,2023-07-01,1,6,20,27,28,41,15
1075,2023-07-08,1,23,24,35,44,45,10
1076,2023-07-15,3,7,9,33,36,37,10
1077,2023-07-22,4,8,17,30,40,43,34
1078,2023-07-29,6,10,11,14,36,38,43
1079,2023-08-05,4,8,18,24,37,45,6
1080,2023-08-12,13,16,23,31,36,44,38
1081,2023-08-19,1,9,16,23,24,38,17
1082,2023-08-26,21,26,27,32,34,42,31
1083,2023-09-02,3,7,14,15,22,38,17
1084,2023-09-09,8,12,13,29,33,42,5
1085,2023-09-16,4,7,17,18,38,44,36
1086,2023-09-23,11,16,25,27,35,36,37
1087,2023-09-30,13,14,18,21,34,44,16
1088,2023-10-07,11,21,22,30,39,44,31
1089,2023-10-14,4,18,31,37,42,43,40
1090,2023-10-21,12,19,21,29,40,45,1
1091,2023-10-28,6,20,23,24,28,30,44
1092,2023-11-04,7,18,19,26,33,45,37
1093,2023-11-11,10,17,22,30,35,43,44
1094,2023-11-18,6,7,15,22,26,40,41
1095,2023-11-25,8,14,28,29,34,40,12
1096,2023-12-02,1,12,16,19,23,43,34
1097,2023-12-09,14,33,34,35,37,40,4
1098,2023-12-16,12,16,21,24,41,43,15
1099,2023-12-23,3,20,28,38,40,43,4
1100,2023-12-30,17,26,29,30,31,43,12
1101,2024-01-06,6,7,13,28,36,42,41
1102,2024-01-13,13,14,22,26,37,38,20
1103,2024-01-20,10,12,29,31,40,44,2
1104,2024-01-27,1,7,21,30,35,38,2
1105,2024-02-03,6,16,34,37,39,40,11
1106,2024-02-10,1,3,4,29,42,45,36
1107,2024-02-17,6,14,30,31,40,41,29
1108,2024-02-24,7,19,26,37,39,44,27
1109,2024-03-02,10,12,13,19,33,40,2
1110,2024-03-09,3,7,11,20,22,41,24
1111,2024-03-16,3,13,30,33,43,45,4
1112,2024-03-23,16,20,26,36,42,44,24
1113,2024-03-30,11,13,20,21,32,44,8
1114,2024-04-06,10,16,19,32,33,38,3
1115,2024-04-13,7,12,23,32,34,36,8
1116,2024-04-20,15,16,17,25,30,31,32
1117,2024-04-27,3,4,9,30,33,36,7
1118,2024-05-04,11,13,14,15,16,45,3
1119,2024-05-11,1,9,12,13,20,45,3
1120,2024-05-18,2,19,26,31,38,41,34
1121,2024-05-25,6,24,31,32,38,44,8
1122,2024-06-01,3,6,21,30,34,35,22
1123,2024-06-08,13,19,21,24,34,35,26
1124,2024-06-15,3,8,17,30,33,34,28
1125,2024-06-22,6,14,25,33,40,44,30
1126,2024-06-29,4,5,9,11,37,40,7
1127,2024-07-06,10,15,24,30,31,37,32
1128,2024-07-13,1,5,8,16,28,33,45
1129,2024-07-20,5,10,11,17,28,34,22
1130,2024-07-27,15,19,21,25,27,28,40
1131,2024-08-03,1,2,6,14,27,38,33
1132,2024-08-10,6,7,19,28,34,41,5
1133,2024-08-17,13,14,20,28,29,34,23
1134,2024-08-24,3,7,9,13,19,24,23
1135,2024-08-31,1,6,13,19,21,33,4
1136,2024-09-07,21,33,35,38,42,44,1
1137,2024-09-14,4,9,12,15,33,45,26
1138,2024-09-21,14,16,19,20,29,34,35
1139,2024-09-28,5,12,15,30,37,40,18
1140,2024-10-05,7,10,22,29,31,38,15
1141,2024-10-12,7,11,12,21,26,35,20
1142,2024-10-19,2,8,28,30,37,41,22
1143,2024-10-26,10,16,17,27,28,36,6
1144,2024-11-02,3,4,12,15,26,34,6
1145,2024-11-09,2,11,31,33,37,44,32
1146,2024-11-16,6,11,17,19,40,43,28
1147,2024-11-23,7,11,24,26,27,37,32
1148,2024-11-30,3,6,13,15,16,22,32
1149,2024-12-07,8,15,19,21,32,36,38
1150,2024-12-14,8,9,18,35,39,45,25
1151,2024-12-21,2,3,9,15,27,29,8
